key,chips,raw_first_irq,raw_top_irq,raw_top_share,raw_distinct_irqs,parser_detected_irq,raw_in_bounds,parser_in_bounds,detected_zero,parser_disagrees_with_raw,near_lower_bound,near_upper_bound
4753_Softcopy/Loads_of_Money_Cashmix.1.dump.parquet,1,0,70959842,0.045,53,4187610,0,0,0,1,0,0
4753_Softcopy/Lord_Helmchens_Disco.1.dump.parquet,1,0,51368396,0.0205,82,1034586,0,0,0,1,0,0
4753_Softcopy/M_U_S_I_C_Nonstop_Mix.1.dump.parquet,1,0,45045926,0.0362,114,541926,0,0,0,1,0,0
4753_Softcopy/Michael_Jackson-LIVE.1.dump.parquet,1,0,19230542,0.3181,6,19213740,0,0,0,1,0,0
4753_Softcopy/Movie_Chaos_Mix.1.dump.parquet,1,0,50810048,0.0568,31,2184126,0,0,0,1,0,0
4753_Softcopy/NFC_Copyparty-Boogie.1.dump.parquet,1,0,79614236,0.0275,78,1083852,0,0,0,1,0,0
4753_Softcopy/NFC_Copyparty_Acapella.1.dump.parquet,1,0,56212886,0.035,64,2151282,0,0,0,1,0,0
4753_Softcopy/Paid_in_Fuff.1.dump.parquet,1,0,16717976,0.0738,104,2414034,0,0,0,1,0,0
4753_Softcopy/Princes_Time_Is_Over.1.dump.parquet,1,0,7242482,0.0627,47,706146,0,0,0,1,0,0
4753_Softcopy/Push_It.1.dump.parquet,1,0,41088224,0.047,37,3744216,0,0,0,1,0,0
4753_Softcopy/Savade_Special_Remix.1.dump.parquet,1,0,75147452,0.0247,98,1264494,0,0,0,1,0,0
4753_Softcopy/Scrambled_Artists_vol_2.1.dump.parquet,1,0,42796112,0.0803,67,525504,0,0,0,1,0,0
4753_Softcopy/Ship_of_Dogs.1.dump.parquet,1,0,16802,0.0425,65,2463300,1,0,0,1,0,0
4753_Softcopy/Sick_Tune_Remix.1.dump.parquet,1,0,89812298,0.0283,94,1937796,0,0,0,1,0,0
4753_Softcopy/Steven_Carrington_got_AIDS.1.dump.parquet,1,0,39413180,0.0303,106,262752,0,0,0,1,0,0
4753_Softcopy/Theme_from_S-Express.1.dump.parquet,1,0,10855322,0.0322,79,525504,0,0,0,1,0,0
4753_Softcopy/Unthinkable-Happens-Mix.1.dump.parquet,1,0,26620442,0.0314,80,525504,0,0,0,1,0,0
4753_Softcopy/Who_Pays_Falcos_Penalty.1.dump.parquet,1,0,31974014,0.046,75,459816,0,0,0,1,0,0
4gente/Covfefe.1.dump.parquet,1,0,3321800,0.0054,566,19656,0,1,0,1,0,0
4gente/Ghost01.1.dump.parquet,1,0,19734560,0.0031,1108,19656,0,1,0,1,0,0
4gente/Guns_Freak_Me_Out.1.dump.parquet,1,0,22820552,0.0012,2531,19656,0,1,0,1,0,0
4gente/Thanks.1.dump.parquet,1,0,15272648,0.001,3692,19656,0,1,0,1,0,0
4wd-soft/Alien_Souls.1.dump.parquet,1,0,0,0.0022,4142,85220,0,0,0,1,0,0
4wd-soft/Bass_Rumble.1.dump.parquet,1,0,156173,0.0008,10466,20481,0,1,0,1,0,0
4wd-soft/Canone_in_Re.1.dump.parquet,1,0,0,0.0036,1202,139448,0,0,0,1,0,0
4wd-soft/Durlindana_und_Excalibur.1.dump.parquet,1,0,0,0.0025,1679,127832,0,0,0,1,0,0
4wd-soft/Ghost_in_Blue.1.dump.parquet,1,0,0,0.0049,1073,114471,0,0,0,1,0,0
4wd-soft/Light_Years.1.dump.parquet,1,0,64430313,0.0047,1020,95874,0,0,0,1,0,0
4wd-soft/Metal_Disco.1.dump.parquet,1,0,0,0.0055,499,109528,0,0,0,1,0,0
4wd-soft/Musica_3.1.dump.parquet,1,0,0,0.0042,1140,109571,0,0,0,1,0,0
4wd-soft/My_House.1.dump.parquet,1,0,0,0.0069,482,127789,0,0,0,1,0,0
4wd-soft/Pull.1.dump.parquet,1,0,15587144,0.0005,13848,19656,0,1,0,1,0,0
4wd-soft/Speedway.1.dump.parquet,1,0,0,0.0129,695,98532,0,0,0,1,0,0
4wd-soft/Sunday_Sky.1.dump.parquet,1,0,0,0.0028,1138,170440,0,0,0,1,0,0
4wd-soft/True_Faith_Renegade.1.dump.parquet,1,0,156173,0.0011,6640,20481,0,1,0,1,0,0
4wd-soft/Yoho.1.dump.parquet,1,0,0,0.011,361,127789,0,0,0,1,0,0
505/A_Goat_Day.1.dump.parquet,1,0,16452008,0.0018,2190,19656,0,1,0,1,0,0
